Gene name	max length	read count	rpkm	IDs
A1BG	1766	322	3.581862	NM_130786
A1BG-AS1	2130	119	1.097517	NR_015380
A1CF	9269	0	0	NM_138932,NM_138933,NM_001198820,NM_001198819,NM_001198818,NM_014576
A2M	5073	61	0.2362157	NM_001347423,NM_000014,NM_001347425,NM_001347424
A2M-AS1	2282	11	0.09469363	NR_026971,NR_137424,NR_137425
A2ML1	3785	0	0	NM_144670,NM_001282424
A2MP1	1201	0	0	NR_040112
A3GALT2	1023	0	0	NM_001080438
A4GALT	2138	6372	58.54796	NM_001318038,NM_017436
A4GNT	1771	10	0.1109239	NM_016161
AA06	632	0	0	NR_037584
AAAS	1738	1513	17.10145	NM_015665,NM_001173466
AACS	3341	1492	8.772757	NM_001319840,NM_001319839,NM_023928
AACSP1	2825	0	0	NR_024035,NR_135095
AADAC	1606	15	0.1834803	NM_001086
AADACL2	1500	0	0	NM_207365
AADACL2-AS1	772	0	0	NR_110203,NR_110202
AADACL3	4049	0	0	NR_111984,NM_001103170
AADACL4	1575	0	0	NM_001013630
AADACP1	1289	0	0	NR_026915
AADAT	2326	349	2.947538	NM_001286683,NM_001286682,NM_182662,NM_016228
AAED1	1225	1579	25.32152	NM_153698
AAGAB	3344	1765	10.36865	NM_001271885,NM_024666,NM_001271886
AAK1	21265	1736	1.603718	NM_014911
AAMDC	594	754	24.93611	NM_001316958,NR_133637,NM_001316960,NM_001316961,NM_024684,NM_001316957,NM_001316962
AAMP	1835	3688	39.48195	NM_001087,NM_001302545
AANAT	1913	1	0.01026901	NM_001088,NR_110548,NM_001166579
AAR2	2486	1866	14.74532	NM_015511,NM_001271874
AARD	1786	17	0.1869869	NM_001025357
AARS	3344	8007	47.03783	NM_001605
AARS2	4782	1162	4.773537	NM_020745
AARSD1	1364	78	1.123373	NM_001261434
AASDH	3720	376	1.985586	NM_001286672,NM_001286671,NM_001286670,NM_001286669,NM_001286668,NM_181806,NM_001323892,NM_001323899,NM_001323893,NM_001323890
AASDHPPT	2861	880	6.042387	NM_015423
AASS	5871	901	3.014786	NM_005763
AATBC	4598	14	0.05981399	NR_026961
AATF	2141	2215	20.32361	NM_012138
AATK	5311	8	0.02959085	NM_004920,NM_001080395
AATK-AS1	1577	0	0	NR_027255
ABALON	1903	1070	11.04558	NR_131907
ABAT	4814	572	2.334176	NM_000663,NM_001127448,NM_020686
ABCA1	10502	2557	4.783022	NM_005502
ABCA10	6331	175	0.543012	NM_080282
ABCA11P	1895	89	0.9226235	NR_002451
ABCA12	8085	20	0.04859523	NR_103740,NM_173076,NM_015657
ABCA13	17184	33	0.03772536	NM_152701
ABCA17P	4188	18	0.08443248	NR_003574
ABCA2	8146	4050	9.766846	NM_001606,NM_212533
ABCA3	6623	667	1.978403	NM_001089
ABCA4	7325	31	0.08313766	NM_000350
ABCA5	8177	175	0.4204243	NM_018672,NM_172232
ABCA6	5296	1151	4.269442	NM_080284
ABCA7	6818	327	0.9421813	NM_019112
ABCA8	5828	3217	10.84364	NM_001288985,NM_007168,NM_001288986
ABCA9	6301	1389	4.330484	NM_080283
ABCA9-AS1	523	0	0	NR_126414
ABCB1	4569	3	0.01289864	NM_001348946,NM_001348945,NM_000927,NM_001348944
ABCB10	3857	566	2.882773	NM_012089
ABCB11	4775	0	0	NM_003742
ABCB4	3988	86	0.4236303	NM_000443,NM_018850,NM_018849
ABCB5	1724	11	0.1253427	NM_001163942,NM_178559,NM_001163941,NM_001163993
ABCB6	3018	1090	7.094977	NM_005689
ABCB7	2525	511	3.975605	NM_004299,NM_001271699,NM_001271698,NM_001271697,NM_001271696
ABCB8	4684	1791	7.511426	NM_001282293,NM_001282292,NM_001282291,NM_007188
ABCB9	3401	103	0.5949416	NM_019625,NM_001243013,NM_001243014,NM_203444,NM_019624
ABCC1	6563	7527	22.53011	NM_004996
ABCC10	5088	1311	5.061734	NM_001198934,NM_033450
ABCC11	4576	7	0.03005078	NM_145186,NM_033151,NM_032583
ABCC12	5168	0	0	NM_033226
ABCC13	2824	0	0	NR_003088,NR_003087
ABCC2	5446	35	0.1262508	NM_000392
ABCC3	5166	871	3.312131	NM_001144070,NM_003786
ABCC4	5856	569	1.908776	NM_001301830,NM_001301829,NM_001105515,NM_005845
ABCC5	2072	1474	13.97499	NM_005688,NM_001320032,NM_001023587,NR_135125
