Gene name	max length	read count	rpkm	IDs
A1BG	1766	81	2.459665	NM_130786
A1BG-AS1	2130	59	1.485437	NR_015380
A1CF	9269	0	0	NM_138932,NM_138933,NM_001198820,NM_001198819,NM_001198818,NM_014576
A2M	5073	184	1.945067	NM_001347423,NM_000014,NM_001347425,NM_001347424
A2M-AS1	2282	3	0.0704997	NR_026971,NR_137424,NR_137425
A2ML1	3785	0	0	NM_144670,NM_001282424
A2MP1	1201	0	0	NR_040112
A3GALT2	1023	0	0	NM_001080438
A4GALT	2138	814	20.4173	NM_001318038,NM_017436
A4GNT	1771	1	0.03028051	NM_016161
AA06	632	0	0	NR_037584
AAAS	1738	723	22.30849	NM_015665,NM_001173466
AACS	3341	544	8.731807	NM_001319840,NM_001319839,NM_023928
AACSP1	2825	0	0	NR_024035,NR_135095
AADAC	1606	0	0	NM_001086
AADACL2	1500	0	0	NM_207365
AADACL2-AS1	772	0	0	NR_110203,NR_110202
AADACL3	4049	0	0	NR_111984,NM_001103170
AADACL4	1575	0	0	NM_001013630
AADACP1	1289	0	0	NR_026915
AADAT	2326	381	8.784094	NM_001286683,NM_001286682,NM_182662,NM_016228
AAED1	1225	283	12.38888	NM_153698
AAGAB	3344	861	13.80761	NM_001271885,NM_024666,NM_001271886
AAK1	21265	1539	3.881101	NM_014911
AAMDC	594	173	15.61857	NM_001316958,NR_133637,NM_001316960,NM_001316961,NM_024684,NM_001316957,NM_001316962
AAMP	1835	1560	45.59007	NM_001087,NM_001302545
AANAT	1913	0	0	NM_001088,NR_110548,NM_001166579
AAR2	2486	743	16.02763	NM_015511,NM_001271874
AARD	1786	2	0.06005238	NM_001025357
AARS	3344	3602	57.76425	NM_001605
AARS2	4782	765	8.578938	NM_020745
AARSD1	1364	33	1.297422	NM_001261434
AASDH	3720	218	3.142644	NM_001286672,NM_001286671,NM_001286670,NM_001286669,NM_001286668,NM_181806,NM_001323892,NM_001323899,NM_001323893,NM_001323890
AASDHPPT	2861	909	17.03836	NM_015423
AASS	5871	298	2.721986	NM_005763
AATBC	4598	4	0.04665226	NR_026961
AATF	2141	1269	31.78532	NM_012138
AATK	5311	2	0.02019461	NM_004920,NM_001080395
AATK-AS1	1577	0	0	NR_027255
ABALON	1903	198	5.579665	NR_131907
ABAT	4814	84	0.9357393	NM_000663,NM_001127448,NM_020686
ABCA1	10502	659	3.365078	NM_005502
ABCA10	6331	2	0.01694101	NM_080282
ABCA11P	1895	100	2.829909	NR_002451
ABCA12	8085	2	0.01326575	NR_103740,NM_173076,NM_015657
ABCA13	17184	6	0.01872443	NM_152701
ABCA17P	4188	2	0.02560973	NR_003574
ABCA2	8146	608	4.002588	NM_001606,NM_212533
ABCA3	6623	30	0.2429116	NM_001089
ABCA4	7325	2	0.01464212	NM_000350
ABCA5	8177	81	0.5312179	NM_018672,NM_172232
ABCA6	5296	85	0.8607017	NM_080284
ABCA7	6818	48	0.3775426	NM_019112
ABCA8	5828	146	1.34343	NM_001288985,NM_007168,NM_001288986
ABCA9	6301	23	0.1957492	NM_080283
ABCA9-AS1	523	0	0	NR_126414
