Gene name	max length	read count	rpkm	IDs
A1BG	1766	4	0.188848	NM_130786
A1BG-AS1	2130	0	0	NR_015380
A1CF	9269	0	0	NM_138932,NM_138933,NM_001198820,NM_001198819,NM_001198818,NM_014576
A2M	5073	1423	23.38747	NM_001347423,NM_000014,NM_001347425,NM_001347424
A2M-AS1	2282	10	0.3653654	NR_026971,NR_137424,NR_137425
A2ML1	3785	0	0	NM_144670,NM_001282424
A2MP1	1201	0	0	NR_040112
A3GALT2	1023	0	0	NM_001080438
A4GALT	2138	88	3.431769	NM_001318038,NM_017436
A4GNT	1771	0	0	NM_016161
AA06	632	0	0	NR_037584
AAAS	1738	151	7.243864	NM_015665,NM_001173466
AACS	3341	58	1.44742	NM_001319840,NM_001319839,NM_023928
AACSP1	2825	0	0	NR_024035,NR_135095
AADAC	1606	0	0	NM_001086
AADACL2	1500	0	0	NM_207365
AADACL2-AS1	772	0	0	NR_110203,NR_110202
AADACL3	4049	0	0	NR_111984,NM_001103170
AADACL4	1575	0	0	NM_001013630
AADACP1	1289	0	0	NR_026915
AADAT	2326	14	0.5018356	NM_001286683,NM_001286682,NM_182662,NM_016228
AAED1	1225	85	5.785301	NM_153698
AAGAB	3344	246	6.133551	NM_001271885,NM_024666,NM_001271886
AAK1	21265	185	0.7253531	NM_014911
AAMDC	594	808	113.4144	NM_001316958,NR_133637,NM_001316960,NM_001316961,NM_024684,NM_001316957,NM_001316962
AAMP	1835	439	19.94672	NM_001087,NM_001302545
AANAT	1913	1	0.04358411	NM_001088,NR_110548,NM_001166579
AAR2	2486	113	3.789836	NM_015511,NM_001271874
AARD	1786	0	0	NM_001025357
AARS	3344	588	14.66068	NM_001605
AARS2	4782	83	1.447144	NM_020745
AARSD1	1364	33	2.017171	NM_001261434
AASDH	3720	51	1.143064	NM_001286672,NM_001286671,NM_001286670,NM_001286669,NM_001286668,NM_181806,NM_001323892,NM_001323899,NM_001323893,NM_001323890
AASDHPPT	2861	297	8.655292	NM_015423
AASS	5871	154	2.187015	NM_005763
AATBC	4598	1	0.01813319	NR_026961
AATF	2141	171	6.659208	NM_012138
AATK	5311	108	1.695472	NM_004920,NM_001080395
AATK-AS1	1577	0	0	NR_027255
ABALON	1903	24	1.051515	NR_131907
ABAT	4814	24	0.4156696	NM_000663,NM_001127448,NM_020686
ABCA1	10502	577	4.580859	NM_005502
ABCA10	6331	106	1.395972	NM_080282
ABCA11P	1895	34	1.495935	NR_002451
ABCA12	8085	0	0	NR_103740,NM_173076,NM_015657
ABCA13	17184	0	0	NM_152701
ABCA17P	4188	1	0.0199084	NR_003574
ABCA2	8146	225	2.302933	NM_001606,NM_212533
ABCA3	6623	103	1.296658	NM_001089
ABCA4	7325	0	0	NM_000350
ABCA5	8177	1051	10.71647	NM_018672,NM_172232
ABCA6	5296	107	1.684531	NM_080284
ABCA7	6818	166	2.029991	NM_019112
ABCA8	5828	467	6.680984	NM_001288985,NM_007168,NM_001288986
ABCA9	6301	311	4.115229	NM_080283
ABCA9-AS1	523	0	0	NR_126414
ABCB1	4569	9	0.1642345	NM_001348946,NM_001348945,NM_000927,NM_001348944
ABCB10	3857	189	4.085595	NM_012089
ABCB11	4775	0	0	NM_003742
ABCB4	3988	214	4.47406	NM_000443,NM_018850,NM_018849
ABCB5	1724	0	0	NM_001163942,NM_178559,NM_001163941,NM_001163993
ABCB6	3018	351	9.696857	NM_005689
ABCB7	2525	259	8.552272	NM_004299,NM_001271699,NM_001271698,NM_001271697,NM_001271696
ABCB8	4684	85	1.513022	NM_001282293,NM_001282292,NM_001282291,NM_007188
ABCB9	3401	2	0.04903052	NM_019625,NM_001243013,NM_001243014,NM_203444,NM_019624
ABCC1	6563	532	6.758532	NM_004996
ABCC10	5088	61	0.9995991	NM_001198934,NM_033450
ABCC11	4576	0	0	NM_145186,NM_033151,NM_032583
ABCC12	5168	2	0.03226641	NM_033226
ABCC13	2824	1	0.02952422	NR_003088,NR_003087
ABCC2	5446	11	0.1684062	NM_000392
ABCC3	5166	3	0.04841835	NM_001144070,NM_003786
ABCC4	5856	60	0.8542663	NM_001301830,NM_001301829,NM_001105515,NM_005845
