Gene name	max length	read count	rpkm	IDs
A1BG	1766	448	8.151826	NM_130786
A1BG-AS1	2130	99	1.493562	NR_015380
A1CF	9269	0	0	NM_138932,NM_138933,NM_001198820,NM_001198819,NM_001198818,NM_014576
A2M	5073	79	0.5004144	NM_001347423,NM_000014,NM_001347425,NM_001347424
A2M-AS1	2282	14	0.1971424	NR_026971,NR_137424,NR_137425
A2ML1	3785	0	0	NM_144670,NM_001282424
A2MP1	1201	0	0	NR_040112
A3GALT2	1023	0	0	NM_001080438
A4GALT	2138	2634	39.5891	NM_001318038,NM_017436
A4GNT	1771	0	0	NM_016161
AA06	632	0	0	NR_037584
AAAS	1738	578	10.68675	NM_015665,NM_001173466
AACS	3341	626	6.020956	NM_001319840,NM_001319839,NM_023928
AACSP1	2825	0	0	NR_024035,NR_135095
AADAC	1606	0	0	NM_001086
AADACL2	1500	6	0.1285368	NM_207365
AADACL2-AS1	772	0	0	NR_110203,NR_110202
AADACL3	4049	0	0	NR_111984,NM_001103170
AADACL4	1575	0	0	NM_001013630
AADACP1	1289	10	0.2492956	NR_026915
AADAT	2326	316	4.36561	NM_001286683,NM_001286682,NM_182662,NM_016228
AAED1	1225	450	11.8044	NM_153698
AAGAB	3344	1186	11.39688	NM_001271885,NM_024666,NM_001271886
AAK1	21265	813	1.22855	NM_014911
AAMDC	594	320	17.31136	NM_001316958,NR_133637,NM_001316960,NM_001316961,NM_024684,NM_001316957,NM_001316962
AAMP	1835	2058	36.03934	NM_001087,NM_001302545
AANAT	1913	0	0	NM_001088,NR_110548,NM_001166579
AAR2	2486	1820	23.52545	NM_015511,NM_001271874
AARD	1786	9	0.1619305	NM_001025357
AARS	3344	6722	64.59514	NM_001605
AARS2	4782	485	3.259115	NM_020745
AARSD1	1364	42	0.9894697	NM_001261434
AASDH	3720	325	2.807424	NM_001286672,NM_001286671,NM_001286670,NM_001286669,NM_001286668,NM_181806,NM_001323892,NM_001323899,NM_001323893,NM_001323890
AASDHPPT	2861	1026	11.52384	NM_015423
AASS	5871	383	2.096304	NM_005763
AATBC	4598	0	0	NR_026961
AATF	2141	803	12.0522	NM_012138
AATK	5311	1	0.0060505	NM_004920,NM_001080395
AATK-AS1	1577	0	0	NR_027255
ABALON	1903	226	3.816254	NR_131907
ABAT	4814	176	1.174828	NM_000663,NM_001127448,NM_020686
ABCA1	10502	1819	5.565809	NM_005502
ABCA10	6331	131	0.6649157	NM_080282
ABCA11P	1895	98	1.661822	NR_002451
ABCA12	8085	0	0	NR_103740,NM_173076,NM_015657
ABCA13	17184	5	0.009350037	NM_152701
ABCA17P	4188	0	0	NR_003574
ABCA2	8146	2223	8.769254	NM_001606,NM_212533
ABCA3	6623	91	0.4415239	NM_001089
ABCA4	7325	3	0.01316077	NM_000350
ABCA5	8177	211	0.8291938	NM_018672,NM_172232
ABCA6	5296	707	4.28982	NM_080284
ABCA7	6818	275	1.296114	NM_019112
ABCA8	5828	1198	6.605487	NM_001288985,NM_007168,NM_001288986
ABCA9	6301	710	3.620899	NM_080283
ABCA9-AS1	523	0	0	NR_126414
ABCB1	4569	0	0	NM_001348946,NM_001348945,NM_000927,NM_001348944
ABCB10	3857	851	7.090021	NM_012089
ABCB11	4775	0	0	NM_003742
ABCB4	3988	196	1.579314	NM_000443,NM_018850,NM_018849
ABCB5	1724	0	0	NM_001163942,NM_178559,NM_001163941,NM_001163993
ABCB6	3018	916	9.753126	NM_005689
ABCB7	2525	360	4.581511	NM_004299,NM_001271699,NM_001271698,NM_001271697,NM_001271696
ABCB8	4684	666	4.56904	NM_001282293,NM_001282292,NM_001282291,NM_007188
ABCB9	3401	78	0.7369797	NM_019625,NM_001243013,NM_001243014,NM_203444,NM_019624
ABCC1	6563	2489	12.18681	NM_004996
ABCC10	5088	533	3.36626	NM_001198934,NM_033450
ABCC11	4576	8	0.05617868	NM_145186,NM_033151,NM_032583
ABCC12	5168	0	0	NM_033226
ABCC13	2824	0	0	NR_003088,NR_003087
ABCC2	5446	9	0.05310464	NM_000392
ABCC3	5166	1246	7.750527	NM_001144070,NM_003786
ABCC4	5856	723	3.967389	NM_001301830,NM_001301829,NM_001105515,NM_005845
ABCC5	2072	651	10.09622	NM_005688,NM_001320032,NM_001023587,NR_135125
ABCC5-AS1	469	0	0	NR_046570
ABCC6	5117	3	0.01883968	NM_001079528,NM_001171
ABCC6P1	2724	0	0	NR_003569
ABCC6P2	706	0	0	NR_023387
ABCC8	4921	0	0	NM_001287174,NM_000352
ABCC9	4670	851	5.85572	NM_020297,NM_005691
ABCD1	3664	719	6.305812	NM_000033
ABCD2	5341	0	0	NM_005164
ABCD3	967	946	31.43636	NM_002858,NM_001122674
ABCD4	3157	811	8.254939	NR_003256,NM_005050
ABCE1	4191	1999	15.3272	NM_002940,NM_001040876
ABCF1	3350	2325	22.3021	NM_001025091,NM_001025091,NM_001025091,NM_001090,NM_001090,NM_001090,NM_001090,NM_001025091,NM_001025091,NM_001090,NM_001025091,NM_001090,NM_001025091,NM_001090
ABCF2	4696	2243	15.3486	NM_005692,NM_007189
ABCF3	2572	1435	17.92869	NM_018358
ABCG1	3037	0	0	NM_004915,NM_207627,NM_207174,NM_207629,NM_016818,NM_207628
ABCG2	4580	0	0	NM_004827,NM_001348989,NM_001348988,NM_001348987,NM_001348986,NM_001348985,NM_001257386
ABCG4	3611	7	0.06229284	NM_022169,NM_001348192,NM_001348191,NM_001142505
ABCG5	2740	0	0	NM_022436
ABCG8	2665	0	0	NM_022437
ABHD1	1446	17	0.377788	NM_032604
ABHD10	2570	536	6.70192	NM_001272069,NM_018394,NR_073571,NR_073570
ABHD11	1421	119	2.691042	NM_001301058,NM_001321382,NM_148913,NM_001145364,NR_026912,NM_148912,NM_001321383,NR_135627
ABHD11-AS1	473	0	0	NR_026690
ABHD12	1724	1139	21.2302	NM_001042472,NM_015600
ABHD12B	1580	3	0.06101432	NM_181814,NM_001206673,NM_181533
ABHD13	5302	815	4.939528	NM_032859
ABHD14A	1108	400	11.6008	NM_015407
ABHD14A-ACY1	1879	427	7.302452	NM_001316331
ABHD14B	2437	2375	31.31668	NM_001146314,NM_001254753,NM_032750
